number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
75,11036.875,2025-06-08 19:33:07.369629,2025-06-08 19:33:40.054670,0 days 00:00:32.685041,432,False,0.04784877182296408,886,830,True,"[0.047850013852065006, 0.051463661791329454, 0.3474779070419529, 0.5532084173146525]",COMPLETE
76,11024.736111111111,2025-06-08 19:33:40.055170,2025-06-08 19:34:04.647697,0 days 00:00:24.592527,329,False,0.08667765359849118,833,781,True,"[0.31560640000084106, 0.33326502754188764, 0.14216510903672394, 0.20896346342054728]",COMPLETE
77,11023.027777777777,2025-06-08 19:34:04.648253,2025-06-08 19:34:23.035994,0 days 00:00:18.387741,334,False,0.006863831222463146,835,797,True,"[0.5713594349325903, 0.1894476454098579, 0.03319921921600627, 0.20599370044154547]",COMPLETE
78,11042.0,2025-06-08 19:34:23.036515,2025-06-08 19:34:41.633750,0 days 00:00:18.597235,327,False,0.01659188117829536,925,886,True,"[0.06276367123422821, 0.4753433607767487, 0.24194879430204813, 0.21994417368697508]",COMPLETE
79,11078.958333333334,2025-06-08 19:34:41.634539,2025-06-08 19:34:59.417490,0 days 00:00:17.782951,354,False,0.090709229612261,840,806,True,"[0.3579642862046059, 0.03430972425288676, 0.5481465746229897, 0.05957941491951776]",COMPLETE
80,11062.041666666666,2025-06-08 19:34:59.418052,2025-06-08 19:35:25.185991,0 days 00:00:25.767939,414,False,0.0869806748927366,795,749,True,"[0.7495366685591074, 0.017422518892552908, 0.06784503171287472, 0.165195780835465]",COMPLETE
81,11044.625,2025-06-08 19:35:25.186506,2025-06-08 19:35:45.237545,0 days 00:00:20.051039,379,False,0.002834315673210669,821,784,True,"[0.0462467209585297, 0.14665015171410048, 0.5778610276176079, 0.22924209970976184]",COMPLETE
82,11063.833333333334,2025-06-08 19:35:45.238023,2025-06-08 19:36:14.947900,0 days 00:00:29.709877,458,False,0.06501380589615509,893,847,True,"[0.1253226728959432, 0.4172241203412641, 0.1977405425796255, 0.2597126641831672]",COMPLETE
83,11104.833333333334,2025-06-08 19:36:14.948266,2025-06-08 19:36:27.528379,0 days 00:00:12.580113,386,False,0.11887057749943547,710,692,True,"[0.13705655059779767, 0.04729948547195923, 0.6763453271656787, 0.13929863676456436]",COMPLETE
84,11077.152777777777,2025-06-08 19:36:27.528774,2025-06-08 19:36:40.561185,0 days 00:00:13.032411,334,False,0.02576707773252953,736,713,True,"[0.210966930109274, 0.0869393392426761, 0.22787210079428336, 0.47422162985376665]",COMPLETE
85,11057.777777777777,2025-06-08 19:36:40.561875,2025-06-08 19:37:12.671253,0 days 00:00:32.109378,425,False,0.059662527058037054,789,735,True,"[0.007896193154026818, 0.20949632623263423, 0.20229765377688158, 0.5803098268364574]",COMPLETE
86,11036.75,2025-06-08 19:37:12.671616,2025-06-08 19:37:50.913455,0 days 00:00:38.241839,311,False,0.11863546845407624,879,793,True,"[0.5070678787403076, 0.07773277476226934, 0.20112943152758364, 0.21406991496983938]",COMPLETE
87,11036.125,2025-06-08 19:37:50.913920,2025-06-08 19:38:53.082437,0 days 00:01:02.168517,493,False,0.20043186750713976,836,772,False,"[0.029673387814898335, 0.32234443761975845, 0.15988374752610168, 0.4880984270392416]",COMPLETE
88,11187.944444444445,2025-06-08 19:38:53.082896,2025-06-08 19:38:58.011242,0 days 00:00:04.928346,355,False,0.1456347298276524,14,13,True,"[0.07823334379426898, 0.7277063701372117, 0.16291205538882556, 0.03114823067969382]",COMPLETE
89,11079.166666666666,2025-06-08 19:38:58.011703,2025-06-08 19:39:10.431213,0 days 00:00:12.419510,268,False,0.029774111232588385,777,750,True,"[0.146144593132983, 0.7396180172010937, 0.08894540090550491, 0.025291988760418424]",COMPLETE
90,11177.347222222223,2025-06-08 19:39:10.431751,2025-06-08 19:39:16.828260,0 days 00:00:06.396509,23,False,0.44830002000540753,748,702,True,"[0.36764219875361953, 0.14132065630960094, 0.1001468568825742, 0.3908902880542053]",COMPLETE
91,11160.847222222223,2025-06-08 19:39:16.828755,2025-06-08 19:44:00.728066,0 days 00:04:43.899311,301,False,0.06561017829848322,858,168,True,"[0.4183701064402782, 0.31959568658388393, 0.2239485961847042, 0.03808561079113365]",COMPLETE
92,11051.527777777777,2025-06-08 19:44:00.728420,2025-06-08 19:44:21.324286,0 days 00:00:20.595866,260,False,0.22928777740734188,817,767,True,"[0.6908974398735883, 0.009054252814272261, 0.04181694289694819, 0.2582313644151913]",COMPLETE
93,11078.888888888889,2025-06-08 19:44:21.324816,2025-06-08 19:44:53.347034,0 days 00:00:32.022218,406,False,0.29574223547717776,930,877,True,"[0.4429818403139518, 0.13447475231266423, 0.22370020985872674, 0.1988431975146572]",COMPLETE
94,11167.263888888889,2025-06-08 19:44:53.347479,2025-06-08 19:44:59.453408,0 days 00:00:06.105929,204,False,0.3660649604497726,133,125,True,"[0.1131014124720423, 0.41075015940034953, 0.44103519984905654, 0.03511322827855159]",COMPLETE
95,11072.388888888889,2025-06-08 19:44:59.453689,2025-06-08 19:45:10.071503,0 days 00:00:10.617814,168,False,0.08237366156215442,845,812,True,"[0.3841626031581313, 0.19209680706418983, 0.26346354510555314, 0.1602770446721257]",COMPLETE
96,11056.597222222223,2025-06-08 19:45:10.071895,2025-06-08 19:48:22.420217,0 days 00:03:12.348322,450,False,0.40432848701037294,913,645,True,"[0.2549482731446519, 0.07760252379441743, 0.3550935991549653, 0.3123556039059653]",COMPLETE
97,11047.361111111111,2025-06-08 19:48:22.420568,2025-06-08 19:48:47.496602,0 days 00:00:25.076034,370,False,0.1611641078016936,778,733,True,"[0.08364489878153397, 0.3026441617493427, 0.17132045996536305, 0.4423904795037602]",COMPLETE
98,11106.527777777777,2025-06-08 19:48:47.497076,2025-06-08 19:51:56.316868,0 days 00:03:08.819792,334,False,0.48125608441761736,977,592,True,"[0.2280160263639346, 0.5907474025326829, 0.03157632081270135, 0.1496602502906813]",COMPLETE
99,11038.916666666666,2025-06-08 19:51:56.317489,2025-06-08 19:52:46.086944,0 days 00:00:49.769455,993,False,0.3131553222392469,857,826,True,"[0.11593617449540732, 0.07208951028397963, 0.2756226745166276, 0.5363516407039856]",COMPLETE
