instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,gvns,hh_rand,hh_greedy,ga_w_nn
pr439,439,96580,TSP,True,0.5,219,45318.0,38874.0,38313.0,
pr439,439,96580,TSP,True,0.75,329,74268.0,64497.0,66365.0,
gil262,262,34453,TSP,False,0.75,196,,,,1671.0
pr76,76,2926,TSP,True,0.25,19,23450.0,23450.0,23450.0,23450.0
pr76,76,2926,TSP,True,0.5,38,41254.0,41258.0,41248.0,42638.0
gr137,137,9453,TSP,False,0.75,102,,,,44147.0
pr76,76,2926,TSP,True,0.75,57,66186.0,64251.0,64142.0,64918.0
gr17,17,153,TSP,False,0.75,12,,,,640.0
rat195,195,19110,TSP,True,0.25,48,592.0,557.0,559.0,565.0
gr202,202,20503,TSP,False,0.75,151,,,,22000.0
rat195,195,19110,TSP,True,0.5,97,1185.0,1140.0,1144.0,1160.0
gr21,21,231,TSP,False,0.75,15,,,,1276.0
rat195,195,19110,TSP,True,0.75,146,1852.0,1753.0,1783.0,1713.0
gr229,229,26335,TSP,False,0.75,171,,,,65832.0
gr24,24,300,TSP,False,0.75,18,,,,763.0
rat575,575,165600,TSP,True,0.25,143,1694.0,1591.0,1589.0,
rat575,575,165600,TSP,True,0.5,287,3853.0,3349.0,3431.0,
rat575,575,165600,TSP,True,0.75,431,6595.0,5452.0,5498.0,
gr48,48,1176,TSP,False,0.75,36,,,,3135.0
gr96,96,4656,TSP,False,0.75,72,,,,29257.0
rat783,783,306936,TSP,True,0.25,195,2453.0,2192.0,2192.0,
rat783,783,306936,TSP,True,0.5,391,7258.0,5007.0,5132.0,
rat783,783,306936,TSP,True,0.75,587,10561.0,8487.0,8820.0,
hk48,48,1176,TSP,False,0.75,36,,,,6937.0
rat99,99,4950,TSP,True,0.25,24,284.0,284.0,284.0,291.0
kroA100,100,5050,TSP,False,0.75,75,,,,13982.0
rat99,99,4950,TSP,True,0.5,49,577.0,574.0,574.0,574.0
rat99,99,4950,TSP,True,0.75,74,912.0,861.0,866.0,870.0
kroA150,150,11325,TSP,False,0.75,112,,,,17787.0
kroA200,200,20100,TSP,False,0.75,150,,,,20705.0
rd100,100,5050,TSP,True,0.25,25,1438.0,1438.0,1438.0,1438.0
kroB100,100,5050,TSP,False,0.75,75,,,,14648.0
rd100,100,5050,TSP,True,0.5,50,3192.0,3168.0,3190.0,3168.0
rd100,100,5050,TSP,True,0.75,75,5197.0,5094.0,5192.0,5175.0
kroB150,150,11325,TSP,False,0.75,112,,,,17090.0
kroB200,200,20100,TSP,False,0.75,150,,,,20553.0
kroC100,100,5050,TSP,False,0.75,75,,,,14295.0
kroD100,100,5050,TSP,False,0.75,75,,,,13884.0
rd400,400,80200,TSP,True,0.25,100,3750.0,3362.0,3458.0,
rd400,400,80200,TSP,True,0.5,200,7951.0,7013.0,7428.0,
rd400,400,80200,TSP,True,0.75,300,12224.0,11326.0,11398.0,
kroE100,100,5050,TSP,False,0.75,75,,,,15347.0
lin105,105,5565,TSP,False,0.75,78,,,,8412.0
lin318,318,50721,TSP,False,0.75,238,,,,27963.0
pr107,107,5778,TSP,False,0.75,80,,,,29684.0
st70,70,2485,TSP,True,0.25,17,120.0,120.0,120.0,120.0
pr124,124,7750,TSP,False,0.75,93,,,,36977.0
st70,70,2485,TSP,True,0.5,35,260.0,260.0,260.0,260.0
st70,70,2485,TSP,True,0.75,52,444.0,428.0,428.0,428.0
pr136,136,9316,TSP,False,0.75,102,,,,67879.0
pr144,144,10440,TSP,False,0.75,108,,,,40274.0
swiss42,42,1764,TSP,True,0.25,10,192.0,192.0,192.0,100.0
pr152,152,11628,TSP,False,0.75,114,,,,46434.0
swiss42,42,1764,TSP,True,0.5,21,458.0,458.0,458.0,186.0
pr226,226,25651,TSP,False,0.75,169,,,,49022.0
swiss42,42,1764,TSP,True,0.75,31,760.0,760.0,760.0,333.0
ts225,225,25425,TSP,True,0.25,56,28828.0,28828.0,28828.0,
ts225,225,25425,TSP,True,0.5,112,56828.0,56828.0,56828.0,
ts225,225,25425,TSP,True,0.75,168,86484.0,85656.0,86070.0,
pr76,76,2926,TSP,False,0.75,57,,,,62262.0
rat195,195,19110,TSP,False,0.75,146,,,,1669.0
tsp225,225,25425,TSP,True,0.25,56,957.0,915.0,915.0,
tsp225,225,25425,TSP,True,0.5,112,1867.0,1729.0,1783.0,
tsp225,225,25425,TSP,True,0.75,168,2934.0,2665.0,2800.0,
u159,159,12720,TSP,True,0.25,39,9176.0,8983.0,8983.0,9085.0
rat99,99,4950,TSP,False,0.75,74,,,,868.0
u159,159,12720,TSP,True,0.5,79,18491.0,18401.0,18399.0,18401.0
rd100,100,5050,TSP,False,0.75,75,,,,5476.0
u159,159,12720,TSP,True,0.75,119,27890.0,27413.0,27790.0,27612.0
u574,574,165025,TSP,True,0.25,143,9146.0,8310.0,8453.0,
u574,574,165025,TSP,True,0.5,287,20940.0,17355.0,17553.0,
u574,574,165025,TSP,True,0.75,430,35032.0,28950.0,28376.0,
st70,70,2485,TSP,False,0.75,52,,,,437.0
swiss42,42,1764,TSP,False,0.75,31,,,,281.0
u724,724,262450,TSP,True,0.25,181,11737.0,10176.0,10071.0,
u724,724,262450,TSP,True,0.5,362,33596.0,21802.0,22138.0,
u724,724,262450,TSP,True,0.75,543,49460.0,37730.0,39467.0,
ulysses16,16,136,TSP,True,0.25,4,935.0,935.0,935.0,935.0
u159,159,12720,TSP,False,0.75,119,,,,27342.0
ulysses16,16,136,TSP,True,0.5,8,1685.0,1685.0,1685.0,1685.0
ulysses16,16,136,TSP,True,0.75,12,3183.0,3183.0,3183.0,3183.0
ulysses22,22,253,TSP,True,0.25,5,747.0,747.0,747.0,747.0
ulysses16,16,136,TSP,False,0.75,12,,,,2704.0
ulysses22,22,253,TSP,True,0.5,11,1902.0,1902.0,1902.0,1902.0
ulysses22,22,253,TSP,False,0.75,16,,,,2618.0
ulysses22,22,253,TSP,True,0.75,16,2941.0,2941.0,2941.0,2968.0
