number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
70,11153.847222222223,2025-06-07 02:18:22.367526,2025-06-07 02:18:29.070488,0 days 00:00:06.702962,623,False,0.8710421632859819,142,139,False,"[0.4823579606607722, 0.26932836506284635, 0.09468793476654416, 0.1536257395098373]",COMPLETE
71,11010.666666666666,2025-06-07 02:18:29.070891,2025-06-07 02:19:53.180595,0 days 00:01:24.109704,832,False,0.03696174979371234,969,891,True,"[0.023498265007176965, 0.2246906677604547, 0.22411350826841964, 0.5276975589639487]",COMPLETE
72,11180.069444444445,2025-06-07 02:19:53.181078,2025-06-07 02:21:50.534846,0 days 00:01:57.353768,169,False,0.9070598431656174,888,396,True,"[0.7963392081345465, 0.005765116387592093, 0.15932283683421353, 0.0385728386436477]",COMPLETE
73,11187.472222222223,2025-06-07 02:21:50.535287,2025-06-07 02:26:33.799356,0 days 00:04:43.264069,700,False,0.06082440965307411,255,11,False,"[0.4569096376481109, 0.056986852240351986, 0.10134587123762816, 0.38475763887390885]",COMPLETE
74,11185.930555555555,2025-06-07 02:26:33.799647,2025-06-07 02:31:05.091405,0 days 00:04:31.291758,676,False,0.996966326826016,534,163,False,"[0.44193871081257696, 0.24445706471119366, 0.20551366246425165, 0.10809056201197767]",COMPLETE
75,11138.986111111111,2025-06-07 02:31:05.092194,2025-06-07 02:31:39.003139,0 days 00:00:33.910945,183,True,0.06408120310195338,335,228,True,"[0.047850013852065006, 0.051463661791329454, 0.3474779070419529, 0.5532084173146525]",COMPLETE
76,11184.875,2025-06-07 02:31:39.003632,2025-06-07 02:33:51.178027,0 days 00:02:12.174395,519,True,0.33780242700071145,374,171,False,"[0.31560640000084106, 0.33326502754188764, 0.14216510903672394, 0.20896346342054728]",COMPLETE
77,11181.694444444445,2025-06-07 02:33:51.178287,2025-06-07 02:39:07.881151,0 days 00:05:16.702864,595,False,0.9982794379343267,663,263,False,"[0.5713594349325903, 0.1894476454098579, 0.03319921921600627, 0.20599370044154547]",COMPLETE
78,11082.736111111111,2025-06-07 02:39:07.881731,2025-06-07 02:43:57.408408,0 days 00:04:49.526677,977,True,0.697851980862654,891,681,False,"[0.06276367123422821, 0.4753433607767487, 0.24194879430204813, 0.21994417368697508]",COMPLETE
79,11180.666666666666,2025-06-07 02:43:57.408773,2025-06-07 02:44:45.860540,0 days 00:00:48.451767,438,True,0.9578234412104798,527,407,False,"[0.3579642862046059, 0.03430972425288676, 0.5481465746229897, 0.05957941491951776]",COMPLETE
