instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,gvns,hh_rand,hh_greedy,ga_w_nn,state_of_art,our_nearest neighbor,our_genetic_algorithm,our_genetic_algorithm_w_nn,gap
ftv38,39,1521,ATSP,TRUE,0.75,29,,,,,,1289,2317,1055,
ftv44,45,2025,ATSP,FALSE,0.25,11,,,,,,370,455,206,
ftv44,45,2025,ATSP,TRUE,0.25,11,,,,,,430,418,256,
ftv44,45,2025,ATSP,FALSE,0.5,22,,,,,,836,1613,559,
ftv44,45,2025,ATSP,TRUE,0.5,22,,,,,,895,1482,647,
ftv44,45,2025,ATSP,FALSE,0.75,33,,,,,,1159,2714,1049,
ftv44,45,2025,ATSP,TRUE,0.75,33,,,,,,1278,3106,1068,
ftv47,48,2304,ATSP,FALSE,0.25,12,,,,,,321,587,258,
ftv47,48,2304,ATSP,TRUE,0.25,12,,,,,,451,568,289,
ftv47,48,2304,ATSP,FALSE,0.5,24,,,,,,694,1898,664,
ftv47,48,2304,ATSP,TRUE,0.5,24,,,,,,863,2068,708,
ftv47,48,2304,ATSP,FALSE,0.75,36,,,,,,1312,3330,1117,
ftv47,48,2304,ATSP,TRUE,0.75,36,,,,,,1261,3224,1212,
ftv55,56,3136,ATSP,FALSE,0.25,14,,,,,,397,649,232,
ftv55,56,3136,ATSP,TRUE,0.25,14,,,,,,428,647,287,
ftv55,56,3136,ATSP,FALSE,0.5,28,,,,,,712,2184,576,
ftv55,56,3136,ATSP,TRUE,0.5,28,,,,,,871,2209,698,
ftv55,56,3136,ATSP,FALSE,0.75,42,,,,,,1238,3757,1139,
ftv55,56,3136,ATSP,TRUE,0.75,42,,,,,,1310,3998,1148,
ftv64,65,4225,ATSP,FALSE,0.25,16,,,,,,428,792,279,
ftv64,65,4225,ATSP,TRUE,0.25,16,,,,,,549,844,309,
ftv64,65,4225,ATSP,FALSE,0.5,32,,,,,,957,2724,716,
ftv64,65,4225,ATSP,TRUE,0.5,32,,,,,,1201,2591,791,
ftv64,65,4225,ATSP,FALSE,0.75,48,,,,,,1566,4534,1285,
ftv64,65,4225,ATSP,TRUE,0.75,48,,,,,,1657,4750,1374,
ftv70,71,5041,ATSP,FALSE,0.25,17,,,,,,406,1004,284,
ftv70,71,5041,ATSP,TRUE,0.25,17,,,,,,478,1009,308,
ftv70,71,5041,ATSP,FALSE,0.5,35,,,,,,882,3163,706,
ftv70,71,5041,ATSP,TRUE,0.5,35,,,,,,1099,3029,800,
ftv70,71,5041,ATSP,FALSE,0.75,53,,,,,,1534,5333,1332,
ftv70,71,5041,ATSP,TRUE,0.75,53,,,,,,1543,5283,1368,
si535,535,143380,TSP (M.~Hofmeister),FALSE,0.25,133,,,,,,11597,34308,11091,
gil262,262,34453,TSP,TRUE,0.25,65,574,540,553,540,540,697,4676,525,2.78%
gil262,262,34453,TSP,TRUE,0.5,131,1141,1037,1034,1042,1034,1219,10755,1088,-5.22%
st70,70,2485,TSP,FALSE,0.25,17,,,,110,110,109,332,105,4.55%
swiss42,42,1764,TSP,FALSE,0.25,10,,,,66,66,175,253,146,-121.21%
gil262,262,34453,TSP,TRUE,0.75,196,1817,1672,1703,1695,1672,1973,16930,1841,-10.11%
ts225,225,25425,TSP,FALSE,0.25,56,,,,,,27500,258382,27500,
tsp225,225,25425,TSP,FALSE,0.25,56,,,,,,905,6755,752,
u159,159,12720,TSP,FALSE,0.25,39,,,,8494,8494,8804,56721,6842,19.45%
gr120,120,7260,TSP,TRUE,0.25,30,1308,1308,1308,,1308,1599,6507,1445,-10.47%
gr120,120,7260,TSP,TRUE,0.5,60,2736,2690,2694,,2690,3281,17758,3061,-13.79%
gr120,120,7260,TSP,TRUE,0.75,90,4585,4420,4380,,4380,5217,29655,4524,-3.29%
u574,574,165025,TSP,FALSE,0.25,143,,,,,,8031,135206,7912,
gr137,137,9453,TSP,TRUE,0.25,34,17802,17399,17445,17399,17399,19429,81237,13773,20.84%
u724,724,262450,TSP,FALSE,0.25,181,,,,,,8760,179200,8760,
gr137,137,9453,TSP,TRUE,0.5,68,29920,29363,29541,31784,29363,38364,218882,28919,1.51%
gr137,137,9453,TSP,TRUE,0.75,102,44356,44182,43912,48623,43912,47529,357889,43671,0.55%
ulysses16,16,136,TSP,FALSE,0.25,4,,,,618,618,334,297,297,51.94%
ulysses22,22,253,TSP,FALSE,0.25,5,,,,447,447,437,332,332,25.73%
gr17,17,153,TSP,TRUE,0.25,4,234,234,234,234,234,101,94,92,60.68%
a280,280,39340,TSP,FALSE,0.5,140,,,,1234,1234,1460,13117,1282,-3.89%
gr17,17,153,TSP,TRUE,0.5,8,517,517,517,517,517,352,351,327,36.75%
ali535,535,143380,TSP,FALSE,0.5,267,,,,,,56107,1482851,48724,
gr17,17,153,TSP,TRUE,0.75,12,951,951,951,951,951,873,936,808,15.04%
att48,48,1176,TSP,FALSE,0.5,24,,,,,,3731,9561,3389,
gr202,202,20503,TSP,TRUE,0.25,50,8175,8142,8142,8142,8142,7868,37490,4530,44.36%
att532,532,141778,TSP,FALSE,0.5,266,,,,,,18306,218486,11884,
gr202,202,20503,TSP,TRUE,0.5,101,14333,14182,14199,14181,14181,15221,100652,12147,14.34%
gr202,202,20503,TSP,TRUE,0.75,151,22651,21563,21954,21954,21563,25083,159398,21058,2.34%
bayg29,29,435,TSP,FALSE,0.5,14,,,,581,581,627,1030,553,4.82%
bays29,29,841,TSP,FALSE,0.5,14,,,,672,672,950,1171,654,2.68%
gr21,21,231,TSP,TRUE,0.25,5,324,324,324,324,324,182,201,182,43.83%
berlin52,52,1378,TSP,FALSE,0.5,26,,,,1766,1766,1784,6175,1728,2.15%
gr21,21,231,TSP,TRUE,0.5,10,918,918,918,918,918,1265,781,800,12.85%
bier127,127,8128,TSP,FALSE,0.5,63,,,,24862,24862,31659,192879,26976,-8.50%
gr21,21,231,TSP,TRUE,0.75,15,1501,1501,1501,1501,1501,1736,2152,1467,2.27%
brazil58,58,1711,TSP,FALSE,0.5,29,,,,,,7493,26723,5295,
gr229,229,26335,TSP,TRUE,0.25,57,20252,18555,18970,18555,18555,31255,206893,20990,-13.12%
gr229,229,26335,TSP,TRUE,0.5,114,45078,41005,41242,41005,41005,63416,504629,47085,-14.83%
brg180,180,16290,TSP,FALSE,0.5,90,,,,,,950,286690,950,
burma14,14,105,TSP,FALSE,0.5,7,,,,842,842,1053,755,776,7.84%
gr229,229,26335,TSP,TRUE,0.75,171,72938,67848,68553,67848,67848,93346,851856,77772,-14.63%
ch130,130,8515,TSP,FALSE,0.5,65,,,,2492,2492,2865,16163,2487,0.20%
gr24,24,300,TSP,TRUE,0.25,6,264,264,264,264,264,157,145,145,45.08%
ch150,150,11325,TSP,FALSE,0.5,75,,,,2772,2772,3159,19902,2752,0.72%
gr24,24,300,TSP,TRUE,0.5,12,504,504,504,504,504,569,569,462,8.33%
d198,198,19701,TSP,FALSE,0.5,99,,,,5220,5220,4415,61228,3595,31.13%
gr24,24,300,TSP,TRUE,0.75,18,844,844,844,844,844,995,1254,843,0.12%
d493,493,121771,TSP,FALSE,0.5,246,,,,,,18493,190886,9319,
d657,657,216153,TSP,FALSE,0.5,328,,,,,,22076,383451,20290,
dantzig42,42,903,TSP,FALSE,0.5,21,,,,227,227,256,712,232,-2.20%
gr431,431,93096,TSP,TRUE,0.25,107,15556,14857,15303,,14857,15885,425694,14545,2.10%
gr431,431,93096,TSP,TRUE,0.5,215,41906,37071,38207,,37071,62952,949406,42174,-13.77%
gr431,431,93096,TSP,TRUE,0.75,323,93079,81904,81144,,81144,93326,1529698,92741,-14.29%
eil101,101,5151,TSP,FALSE,0.5,50,,,,249,249,268,1191,255,-2.41%
gr48,48,1176,TSP,TRUE,0.25,12,874,874,874,874,874,1151,1243,768,12.13%
eil51,51,1326,TSP,FALSE,0.5,25,,,,179,179,175,426,164,8.38%
gr48,48,1176,TSP,TRUE,0.5,24,1819,1819,1819,1819,1819,3137,5147,1895,-4.18%
gr48,48,1176,TSP,TRUE,0.75,36,3113,3113,3104,3104,3104,3577,10105,3215,-3.58%
eil76,76,2926,TSP,FALSE,0.5,38,,,,217,217,232,814,216,0.46%
fl417,417,87153,TSP,FALSE,0.5,208,,,,,,5916,206893,5753,
fri26,26,351,TSP,FALSE,0.5,13,,,,308,308,279,360,259,15.91%
gil262,262,34453,TSP,FALSE,0.5,131,,,,1049,1049,1117,10606,1053,-0.38%
gr666,666,222111,TSP,TRUE,0.25,166,29083,27358,27820,,27358,88346,1031728,23763,13.14%
gr666,666,222111,TSP,TRUE,0.5,333,140432,93994,89448,,89448,143095,2204698,104076,-16.35%
gr666,666,222111,TSP,TRUE,0.75,499,273618,194897,204846,,194897,176122,3427318,173952,10.75%
gr120,120,7260,TSP,FALSE,0.5,60,,,,,,3032,17769,2810,
gr96,96,4656,TSP,TRUE,0.25,24,10465,10460,10460,9543,9543,13390,44669,9990,-4.68%
gr137,137,9453,TSP,FALSE,0.5,68,,,,29108,29108,29924,217603,25896,11.03%
gr96,96,4656,TSP,TRUE,0.5,48,20765,20688,20688,19876,19876,26715,122697,20223,-1.75%
gr17,17,153,TSP,FALSE,0.5,8,,,,359,359,325,355,325,9.47%
gr96,96,4656,TSP,TRUE,0.75,72,32425,31437,31526,31095,31095,41881,204378,37851,-21.73%
gr202,202,20503,TSP,FALSE,0.5,101,,,,13996,13996,14128,101171,11800,15.69%
