number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
38,11105.388888888889,2025-05-25 02:13:46.119814,2025-05-25 02:20:31.634092,0 days 00:06:45.514278,413,True,0.05432032742325161,240,32,True,"[0.22513742599446038, 0.29543569337114034, 0.17880241949612702, 0.30062446113827235]",COMPLETE
39,11137.222222222223,2025-05-25 02:20:31.634557,2025-05-25 02:21:32.859698,0 days 00:01:01.225141,88,False,0.2458764754331391,98,66,True,"[0.10946303577607258, 0.4465311446036499, 0.2175027296431293, 0.22650308997714813]",COMPLETE
40,11138.263888888889,2025-05-25 02:21:32.860190,2025-05-25 02:23:58.816281,0 days 00:02:25.956091,277,False,0.3019954372119806,140,8,False,"[0.29029570925453224, 0.3006740406756775, 0.37763705588083757, 0.03139319418895269]",COMPLETE
41,11090.347222222223,2025-05-25 02:23:58.816706,2025-05-25 02:33:36.831415,0 days 00:09:38.014709,290,False,0.7879684212819057,386,70,True,"[0.7663708069559614, 0.05575620876863365, 0.07565532605991603, 0.10221765821548895]",COMPLETE
42,11048.916666666666,2025-05-25 02:33:36.831882,2025-05-25 02:38:19.772094,0 days 00:04:42.940212,267,True,0.2732762586196181,380,223,True,"[0.3246757171249298, 0.3154901162043157, 0.3220494205571397, 0.037784746113614744]",COMPLETE
43,11135.611111111111,2025-05-25 02:38:19.774194,2025-05-25 02:42:22.792867,0 days 00:04:03.018673,802,False,0.3071964793461057,86,45,True,"[0.11059623110603521, 0.057456092101799985, 0.035713525001528065, 0.7962341517906368]",COMPLETE
44,11062.708333333334,2025-05-25 02:42:22.794132,2025-05-25 02:57:01.476126,0 days 00:14:38.681994,436,True,0.6810297255826302,515,276,False,"[0.11812323235298472, 0.15463102353528363, 0.3842653764130307, 0.34298036769870077]",COMPLETE
45,11012.625,2025-05-25 02:57:01.477545,2025-05-25 03:07:39.941193,0 days 00:10:38.463648,195,True,0.45699759880247426,905,492,True,"[0.22711436187093847, 0.2592980923649342, 0.4096243778997917, 0.10396316786433574]",COMPLETE
46,10982.444444444445,2025-05-25 03:07:39.941663,2025-05-25 03:25:54.403347,0 days 00:18:14.461684,905,True,0.32806496075400465,693,485,True,"[0.420240105288073, 0.04508837739536972, 0.35442818673573057, 0.1802433305808268]",COMPLETE
47,11027.527777777777,2025-05-25 03:25:54.403854,2025-05-25 03:57:54.939166,0 days 00:32:00.535312,799,True,0.5908021969930376,960,440,True,"[0.5374747221928675, 0.19002507292843474, 0.23975015549511558, 0.03275004938358224]",COMPLETE
48,10975.638888888889,2025-05-25 03:57:54.939627,2025-05-25 04:14:15.627676,0 days 00:16:20.688049,823,True,0.16009563452205802,910,742,False,"[0.4145950184954704, 0.16018633556733994, 0.2258596581148909, 0.19935898782229874]",COMPLETE
49,11029.361111111111,2025-05-25 04:14:15.628098,2025-05-25 04:49:26.986572,0 days 00:35:11.358474,266,False,0.9580647564197466,851,29,False,"[0.18925485498888842, 0.21443458533703932, 0.1403758000555315, 0.4559347596185408]",COMPLETE
50,11034.097222222223,2025-05-25 04:49:26.987004,2025-05-25 05:14:22.552045,0 days 00:24:55.565041,407,True,0.9444109304121213,930,93,True,"[0.32843333798824903, 0.11366450383343195, 0.38188588589005085, 0.17601627228826816]",COMPLETE
51,11186.875,2025-05-25 05:14:22.553518,2025-05-25 05:16:10.942521,0 days 00:01:48.389003,618,False,0.42893813105324136,42,1,False,"[0.31402180243292244, 0.31308828253841064, 0.20518024798143578, 0.1677096670472311]",COMPLETE
