x_iters,func_vals,population_size,generations,mutation_rate,selection_size,has_variable_mutate_rate,mutation_op_prob_1,mutation_op_prob_2,mutation_op_prob_3,mutation_op_prob_4,total,normalized_mutation_op_prob_1,normalized_mutation_op_prob_2,normalized_mutation_op_prob_3,normalized_mutation_op_prob_4,best_func_val
"[np.int64(250), np.int64(250), 0.1, np.int64(5), np.True_, 0.0, 0.0, 0.0]",450775.0,250,250,0.1,5,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,448750.0
"[np.int64(250), np.int64(50), 0.1, np.int64(5), np.True_, 0.0, 0.0, 1.0]",450936.0,250,50,0.1,5,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448750.0
"[np.int64(250), np.int64(250), 0.01, np.int64(40), np.True_, 1.0, 0.0, 0.0]",449078.0,250,250,0.01,40,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,448750.0
"[np.int64(50), np.int64(179), 0.07076840804195314, np.int64(40), np.True_, 0.2430938349572052, 0.01880085134480858, 0.3697836692702547]",453698.0,50,179,0.07076840804195314,40,True,0.2430938349572052,0.01880085134480858,0.3697836692702547,0.3683216444277315,1.0,0.2430938349572052,0.01880085134480858,0.3697836692702547,0.3683216444277315,448750.0
"[np.int64(250), np.int64(250), 0.01, np.int64(40), np.False_, 1.0, 0.0, 0.0]",451135.0,250,250,0.01,40,False,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,448750.0
"[np.int64(250), np.int64(250), 0.01, np.int64(40), np.True_, 1.0, 0.0, 1.0]",451137.0,250,250,0.01,40,True,1.0,0.0,1.0,0.0,2.0,0.5,0.0,0.5,0.0,448750.0
"[np.int64(250), np.int64(250), 0.01, np.int64(5), np.True_, 0.0, 0.0, 0.0]",450963.0,250,250,0.01,5,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,448750.0
"[np.int64(250), np.int64(250), 0.01, np.int64(40), np.True_, 0.0, 1.0, 0.0]",451386.0,250,250,0.01,40,True,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,448750.0
"[np.int64(250), np.int64(50), 0.1, np.int64(40), np.False_, 1.0, 0.0, 0.0]",451521.0,250,50,0.1,40,False,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,448750.0
"[np.int64(216), np.int64(250), 0.01, np.int64(5), np.True_, 0.0, 0.0, 0.0]",450372.0,216,250,0.01,5,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,448750.0
"[np.int64(215), np.int64(250), 0.01, np.int64(5), np.True_, 1.0, 0.0, 0.0]",451086.0,215,250,0.01,5,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,448750.0
"[np.int64(216), np.int64(250), 0.1, np.int64(40), np.True_, 0.0, 0.0, 1.0]",450970.0,216,250,0.1,40,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448750.0
"[np.int64(217), np.int64(250), 0.01, np.int64(5), np.True_, 0.0, 0.0, 0.0]",451190.0,217,250,0.01,5,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,448750.0
"[np.int64(250), np.int64(250), 0.01, np.int64(5), np.True_, 1.0, 1.0, 1.0]",451275.0,250,250,0.01,5,True,1.0,1.0,1.0,0.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,448750.0
"[np.int64(216), np.int64(50), 0.1, np.int64(40), np.False_, 0.0, 0.0, 0.0]",451298.0,216,50,0.1,40,False,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,448750.0
"[np.int64(250), np.int64(50), 0.1, np.int64(5), np.True_, 1.0, 0.0, 1.0]",451058.0,250,50,0.1,5,True,1.0,0.0,1.0,0.0,2.0,0.5,0.0,0.5,0.0,448750.0
"[np.int64(155), np.int64(54), 0.09492419454454075, np.int64(17), np.False_, 0.7696092495969664, 0.8384763670194456, 0.09030146830433773]",452429.0,155,54,0.09492419454454075,17,False,0.7696092495969664,0.8384763670194456,0.09030146830433773,0.0,1.6983870849207499,0.4531412517381913,0.4936897921939689,0.05316895606783973,0.0,448750.0
