instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,worst_nearest_neighbors,avg_nearest_neighbors,best_nearest_neighbors,worst_genetic_algorithm,avg_genetic_algorithm,best_genetic_algorithm,worst_ensemble,avg_ensemble,best_ensemble,worst_solution,avg_solution,best_solution
eil51,51,1326,TSP,false,0.75,38,324,324.0,324,914,876.5,827,279,279.0,279,914,565.6666666666666,279
eil51,51,1326,TSP,true,0.25,12,100,100.0,100,178,152.8,132,80,79.8,79,178,115.52380952380952,79
eil51,51,1326,TSP,true,0.5,25,188,188.0,188,546,494.0,445,183,182.8,181,546,331.23809523809524,181
eil51,51,1326,TSP,true,0.75,38,331,331.0,331,983,870.8,808,288,288.0,288,983,567.5714285714286,288
eil76,76,2926,TSP,false,0.25,19,111,111.0,111,404,330.0,250,94,94.0,94,404,207.1904761904762,94
eil76,76,2926,TSP,false,0.5,38,232,232.0,232,926,859.3,814,218,217.8,216,926,523.952380952381,216
eil76,76,2926,TSP,false,0.75,57,422,422.0,422,1509,1458.6,1414,350,350.0,350,1509,881.3333333333334,350
eil76,76,2926,TSP,true,0.25,19,117,117.0,117,372,311.1,265,108,107.0,103,372,204.66666666666666,103
eil76,76,2926,TSP,true,0.5,38,249,249.0,249,969,898.6,822,222,221.2,218,969,545.0952380952381,218
eil76,76,2926,TSP,true,0.75,57,442,442.0,442,1498,1444.8,1366,363,363.0,363,1498,881.9047619047619,363
fl417,417,87153,TSP,false,0.25,104,2003,2003.0,2003,102769,97417.8,90013,1876,1876.0,1876,102769,47378.142857142855,1876
fl417,417,87153,TSP,false,0.5,208,5916,5916.0,5916,220006,214868.2,206893,5753,5753.0,5753,220006,105339.42857142857,5753
fl417,417,87153,TSP,false,0.75,312,10602,10602.0,10602,341382,333814.5,325170,10439,10439.0,10439,341382,164435.09523809524,10439
fl417,417,87153,TSP,true,0.25,104,2345,2345.0,2345,106130,98845.6,92242,2345,2345.0,2345,106130,48297.666666666664,2345
fl417,417,87153,TSP,true,0.5,208,6322,6322.0,6322,221884,214838.2,202432,6218,6216.8,6210,221884,105565.33333333333,6210
fl417,417,87153,TSP,true,0.75,312,12475,12475.0,12475,346066,329116.3,320287,12326,12290.7,11984,346066,163168.80952380953,11984
fri26,26,351,TSP,false,0.25,6,108,108.0,108,118,86.1,77,77,77.0,77,118,82.80952380952381,77
fri26,26,351,TSP,false,0.5,13,279,279.0,279,586,488.7,360,259,259.0,259,586,369.3333333333333,259
fri26,26,351,TSP,false,0.75,19,453,453.0,453,1164,1025.9,770,446,445.9,445,1164,722.4285714285714,445
fri26,26,351,TSP,true,0.25,6,135,135.0,135,148,107.2,90,88,88.0,88,148,99.38095238095238,88
fri26,26,351,TSP,true,0.5,13,308,308.0,308,534,486.1,377,291,290.7,288,534,384.57142857142856,288
fri26,26,351,TSP,true,0.75,19,569,569.0,569,1174,1048.0,896,515,515.0,515,1174,771.3809523809524,515
ft53,53,2809,ATSP,false,0.25,13,2812,2812.0,2812,3173,2447.4,2022,1138,1135.2,1110,3173,1839.904761904762,1110
ft53,53,2809,ATSP,false,0.5,26,4552,4552.0,4552,9010,8016.7,7285,3524,3322.3,2859,9010,5616.285714285715,2859
ft53,53,2809,ATSP,false,0.75,39,6351,6351.0,6351,14277,13479.2,12261,5138,5138.0,5138,14277,9167.761904761905,5138
ft53,53,2809,ATSP,true,0.25,13,2874,2874.0,2874,3125,2404.8,1836,2130,2101.6,1985,3125,2282.7619047619046,1836
ft53,53,2809,ATSP,true,0.5,26,4587,4587.0,4587,9101,8052.0,7145,3768,3768.0,3768,9101,5847.0,3768
ft53,53,2809,ATSP,true,0.75,39,6560,6560.0,6560,15085,14048.8,13168,5244,5244.0,5244,15085,9499.42857142857,5244
ft70,70,4900,ATSP,false,0.25,17,10134,10134.0,10134,12780,11851.4,10476,9575,9531.7,9274,12780,10665.0,9274
ft70,70,4900,ATSP,false,0.5,35,19936,19936.0,19936,30657,29425.0,27689,19898,19735.8,19203,30657,24359.238095238095,19203
ft70,70,4900,ATSP,false,0.75,52,29964,29964.0,29964,46964,45973.0,44777,29892,29729.0,29283,46964,37475.42857142857,29283
ft70,70,4900,ATSP,true,0.25,17,10676,10676.0,10676,14131,12086.7,10986,10099,10076.0,9997,14131,11062.047619047618,9997
ft70,70,4900,ATSP,true,0.5,35,20211,20211.0,20211,30366,28626.6,27100,19951,19951.0,19951,30366,24094.619047619046,19951
ft70,70,4900,ATSP,true,0.75,52,30313,30313.0,30313,47074,45883.0,44481,29938,29938.0,29938,47074,37548.71428571428,29938
ftv170,171,29241,ATSP,false,0.25,42,652,652.0,652,5153,4692.7,4384,527,527.0,527,5153,2516.6190476190477,527
ftv170,171,29241,ATSP,false,0.5,85,1346,1346.0,1346,11005,10577.4,10240,1188,1188.0,1188,11005,5666.666666666667,1188
ftv170,171,29241,ATSP,false,0.75,128,2089,2089.0,2089,17585,16974.2,16374,2015,2015.0,2015,17585,9141.952380952382,2015
ftv170,171,29241,ATSP,true,0.25,42,791,791.0,791,4832,4617.7,4333,583,581.1,574,4832,2513.285714285714,574
ftv170,171,29241,ATSP,true,0.5,85,1519,1519.0,1519,11532,10750.9,10292,1282,1282.0,1282,11532,5802.285714285715,1282
ftv170,171,29241,ATSP,true,0.75,128,2280,2280.0,2280,17639,17209.1,16597,2049,2049.0,2049,17639,9279.095238095239,2049
ftv33,34,1156,ATSP,false,0.25,8,126,126.0,126,274,207.6,131,126,126.0,126,274,164.85714285714286,126
ftv33,34,1156,ATSP,false,0.5,17,613,613.0,613,1413,1208.5,1030,474,472.8,462,1413,829.8095238095239,462
ftv33,34,1156,ATSP,false,0.75,25,996,996.0,996,2309,2108.5,1950,796,796.0,796,2309,1430.5238095238096,796
ftv33,34,1156,ATSP,true,0.25,8,137,137.0,137,283,193.1,141,133,133.0,133,283,161.8095238095238,133
ftv33,34,1156,ATSP,true,0.5,17,669,669.0,669,1246,1106.5,866,549,548.1,546,1246,819.7619047619048,546
ftv33,34,1156,ATSP,true,0.75,25,925,925.0,925,2206,2042.1,1881,839,839.0,839,2206,1416.0,839
ftv35,36,1296,ATSP,false,0.25,9,198,198.0,198,395,294.0,175,184,184.0,184,395,237.04761904761904,175
ftv35,36,1296,ATSP,false,0.5,18,567,567.0,567,1537,1362.3,1234,567,567.0,567,1537,945.7142857142857,567
ftv35,36,1296,ATSP,false,0.75,27,942,942.0,942,2681,2490.7,2343,930,930.0,930,2681,1673.7619047619048,930
ftv35,36,1296,ATSP,true,0.25,9,334,334.0,334,410,278.7,177,175,175.0,175,410,231.95238095238096,175
ftv35,36,1296,ATSP,true,0.5,18,663,663.0,663,1508,1368.3,1233,608,607.8,606,1508,972.5714285714286,606
ftv35,36,1296,ATSP,true,0.75,27,1110,1110.0,1110,2589,2419.4,2176,1016,1009.5,982,2589,1685.6666666666667,982
ftv38,39,1521,ATSP,false,0.25,9,198,198.0,198,530,281.4,173,140,140.0,140,530,210.0952380952381,140
ftv38,39,1521,ATSP,false,0.5,19,729,729.0,729,1690,1476.9,1152,531,531.0,531,1690,990.8571428571429,531
ftv38,39,1521,ATSP,false,0.75,29,1193,1193.0,1193,2734,2555.1,2313,956,956.0,956,2734,1728.7619047619048,956
ftv38,39,1521,ATSP,true,0.25,9,334,334.0,334,472,329.4,199,169,169.0,169,472,253.23809523809524,169
ftv38,39,1521,ATSP,true,0.5,19,925,925.0,925,1545,1433.1,1242,535,534.3,528,1545,980.9047619047619,528
ftv38,39,1521,ATSP,true,0.75,29,1289,1289.0,1289,2920,2639.6,2317,1055,1055.0,1055,2920,1820.7142857142858,1055
ftv44,45,2025,ATSP,false,0.25,11,370,370.0,370,623,538.0,455,206,206.0,206,623,371.9047619047619,206
ftv44,45,2025,ATSP,false,0.5,22,836,836.0,836,2009,1754.3,1613,559,559.0,559,2009,1141.3809523809523,559
ftv44,45,2025,ATSP,false,0.75,33,1159,1159.0,1159,3379,3053.0,2714,1049,1049.0,1049,3379,2008.5238095238096,1049
ftv44,45,2025,ATSP,true,0.25,11,430,430.0,430,676,541.5,418,256,256.0,256,676,400.23809523809524,256
ftv44,45,2025,ATSP,true,0.5,22,895,895.0,895,1983,1788.6,1482,647,647.0,647,1983,1202.4285714285713,647
ftv44,45,2025,ATSP,true,0.75,33,1278,1278.0,1278,3326,3217.5,3106,1068,1068.0,1068,3326,2101.5714285714284,1068
ftv47,48,2304,ATSP,false,0.25,12,321,321.0,321,800,714.4,587,258,258.0,258,800,478.3333333333333,258
ftv47,48,2304,ATSP,false,0.5,24,694,694.0,694,2340,2112.3,1898,664,664.0,664,2340,1355.095238095238,664
ftv47,48,2304,ATSP,false,0.75,36,1312,1312.0,1312,4004,3658.3,3330,1117,1117.0,1117,4004,2336.4285714285716,1117
ftv47,48,2304,ATSP,true,0.25,12,451,451.0,451,898,719.6,568,289,289.0,289,898,501.76190476190476,289
ftv47,48,2304,ATSP,true,0.5,24,863,863.0,863,2300,2140.1,2068,708,708.0,708,2300,1397.3333333333333,708
ftv47,48,2304,ATSP,true,0.75,36,1261,1261.0,1261,3955,3732.1,3224,1212,1212.0,1212,3955,2414.3809523809523,1212
ftv55,56,3136,ATSP,false,0.25,14,397,397.0,397,966,812.9,649,232,232.0,232,966,516.4761904761905,232
ftv55,56,3136,ATSP,false,0.5,28,712,712.0,712,2629,2409.0,2184,630,624.6,576,2629,1478.4761904761904,576
ftv55,56,3136,ATSP,false,0.75,42,1238,1238.0,1238,4243,4072.8,3757,1139,1139.0,1139,4243,2540.7619047619046,1139
ftv55,56,3136,ATSP,true,0.25,14,428,428.0,428,1006,827.3,647,296,295.1,287,1006,554.8571428571429,287
ftv55,56,3136,ATSP,true,0.5,28,871,871.0,871,2751,2436.2,2209,698,698.0,698,2751,1533.952380952381,698
ftv55,56,3136,ATSP,true,0.75,42,1310,1310.0,1310,4287,4133.8,3998,1197,1191.5,1148,4287,2598.2380952380954,1148
ftv64,65,4225,ATSP,false,0.25,16,428,428.0,428,1220,1048.2,792,279,279.0,279,1220,652.3809523809524,279
ftv64,65,4225,ATSP,false,0.5,32,957,957.0,957,3249,2988.5,2724,716,716.0,716,3249,1809.6190476190477,716
ftv64,65,4225,ATSP,false,0.75,48,1566,1566.0,1566,5146,4849.9,4534,1285,1285.0,1285,5146,2995.9523809523807,1285
ftv64,65,4225,ATSP,true,0.25,16,549,549.0,549,1181,986.2,844,309,309.0,309,1181,642.9047619047619,309
ftv64,65,4225,ATSP,true,0.5,32,1201,1201.0,1201,3135,2890.4,2591,826,816.9,791,3135,1822.5714285714287,791
ftv64,65,4225,ATSP,true,0.75,48,1657,1657.0,1657,5127,4928.4,4750,1374,1374.0,1374,5127,3080.0476190476193,1374
ftv70,71,5041,ATSP,false,0.25,17,406,406.0,406,1371,1127.4,1004,284,284.0,284,1371,691.4285714285714,284
ftv70,71,5041,ATSP,false,0.5,35,882,882.0,882,3697,3429.2,3163,706,706.0,706,3697,2011.142857142857,706
ftv70,71,5041,ATSP,false,0.75,53,1534,1534.0,1534,5818,5638.4,5333,1332,1332.0,1332,5818,3392.285714285714,1332
