instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,worst_nearest_neighbors,avg_nearest_neighbors,best_nearest_neighbors,worst_genetic_algorithm,avg_genetic_algorithm,best_genetic_algorithm,worst_ensemble,avg_ensemble,best_ensemble,worst_solution,avg_solution,best_solution
br17.atsp,17,289,ATSP,true,0.75,12,35,35.0,35,24,22.2,19,19,18.2,18,35,20.904761904761905,18
brazil58.tsp,58,1711,TSP,false,0.25,14,2212,2212.0,2212,4316,3586.2,2984,1914,1914.0,1914,4316,2724.4761904761904,1914
brazil58.tsp,58,1711,TSP,false,0.5,29,7493,7493.0,7493,27029,23727.4,20738,5295,5295.0,5295,27029,14177.0,5295
brazil58.tsp,58,1711,TSP,false,0.75,43,13597,13597.0,13597,57550,50657.4,46159,10125,10125.0,10125,57550,29591.47619047619,10125
brazil58.tsp,58,1711,TSP,true,0.25,14,2345,2345.0,2345,3861,3454.3,3116,2098,2098.0,2098,3861,2755.6190476190477,2098
brazil58.tsp,58,1711,TSP,true,0.5,29,8603,8603.0,8603,25191,21912.6,17210,6105,6105.0,6105,25191,13751.380952380952,6105
brazil58.tsp,58,1711,TSP,true,0.75,43,14917,14917.0,14917,53418,48786.8,43780,13906,13906.0,13906,53418,30564.04761904762,13906
brg180.tsp,180,16290,TSP,false,0.25,45,470,470.0,470,89780,76268.0,62830,470,470.0,470,89780,36564.28571428572,470
brg180.tsp,180,16290,TSP,false,0.5,90,950,950.0,950,280600,261934.0,221710,950,950.0,950,280600,125228.09523809524,950
brg180.tsp,180,16290,TSP,false,0.75,135,4920,4920.0,4920,520850,499274.0,447790,4920,4235.0,1490,520850,240000.47619047618,1490
brg180.tsp,180,16290,TSP,true,0.25,45,480,480.0,480,86670,79783.0,68370,480,480.0,480,86670,38243.333333333336,480
brg180.tsp,180,16290,TSP,true,0.5,90,980,980.0,980,282630,268666.0,254290,980,980.0,980,282630,128449.52380952382,980
brg180.tsp,180,16290,TSP,true,0.75,135,4930,4930.0,4930,533260,486882.0,435650,4930,4586.0,1490,533260,234267.14285714287,1490
burma14.tsp,14,105,TSP,false,0.25,3,182,182.0,182,182,177.8,176,176,176.0,176,182,177.14285714285714,176
burma14.tsp,14,105,TSP,false,0.5,7,1053,1053.0,1053,888,825.6,760,859,826.5,802,1053,836.8571428571429,760
burma14.tsp,14,105,TSP,false,0.75,10,2516,2516.0,2516,1810,1617.0,1437,1444,1437.1,1388,2516,1574.142857142857,1388
burma14.tsp,14,105,TSP,true,0.25,3,20,20.0,20,38,38.0,38,20,20.0,20,38,28.571428571428573,20
burma14.tsp,14,105,TSP,true,0.5,7,1003,1003.0,1003,1127,1104.4,1101,962,962.0,962,1127,1031.7619047619048,962
burma14.tsp,14,105,TSP,true,0.75,10,2846,2846.0,2846,1784,1658.7,1539,1705,1633.6,1539,2846,1703.2857142857142,1539
ch130.tsp,130,8515,TSP,false,0.25,32,1507,1507.0,1507,5804,5265.8,4287,1072,1072.0,1072,5804,3089.7619047619046,1072
ch130.tsp,130,8515,TSP,false,0.5,65,2865,2865.0,2865,16749,15844.1,14925,2487,2487.0,2487,16749,8865.52380952381,2487
ch130.tsp,130,8515,TSP,false,0.75,97,4327,4327.0,4327,28221,26915.4,25197,4187,4187.0,4187,28221,15016.714285714286,4187
ch130.tsp,130,8515,TSP,true,0.25,32,1960,1960.0,1960,5986,5366.5,4806,1150,1150.0,1150,5986,3196.4285714285716,1150
ch130.tsp,130,8515,TSP,true,0.5,65,3041,3041.0,3041,16489,15731.7,14433,2727,2727.0,2727,16489,8934.666666666666,2727
ch130.tsp,130,8515,TSP,true,0.75,97,4767,4767.0,4767,28338,27233.7,25630,4446,4446.0,4446,28338,15312.57142857143,4446
ch150.tsp,150,11325,TSP,false,0.25,37,1512,1512.0,1512,7602,6789.0,5835,1226,1226.0,1226,7602,3888.6666666666665,1226
ch150.tsp,150,11325,TSP,false,0.5,75,3159,3159.0,3159,20278,19340.3,18216,2752,2752.0,2752,20278,10670.57142857143,2752
ch150.tsp,150,11325,TSP,false,0.75,112,5046,5046.0,5046,33562,32608.2,30744,4606,4606.0,4606,33562,17961.333333333332,4606
ch150.tsp,150,11325,TSP,true,0.25,37,1584,1584.0,1584,8207,6946.4,6172,1405,1405.0,1405,8207,4052.285714285714,1405
ch150.tsp,150,11325,TSP,true,0.5,75,3636,3636.0,3636,20628,19320.1,17988,3180,3180.0,3180,20628,10887.47619047619,3180
ch150.tsp,150,11325,TSP,true,0.75,112,5112,5112.0,5112,33195,31858.4,30104,4791,4791.0,4791,33195,17695.52380952381,4791
d198.tsp,198,19701,TSP,false,0.25,49,2147,2147.0,2147,22762,18026.5,13150,1600,1600.0,1600,22762,9448.190476190477,1600
d198.tsp,198,19701,TSP,false,0.5,99,4415,4415.0,4415,62927,55778.0,41944,3595,3595.0,3595,62927,28483.095238095237,3595
d198.tsp,198,19701,TSP,false,0.75,148,6796,6796.0,6796,112031,106941.7,99912,6716,6716.0,6716,112031,54446.333333333336,6716
d198.tsp,198,19701,TSP,true,0.25,49,2473,2473.0,2473,21965,16625.6,11597,1652,1652.0,1652,21965,8821.380952380952,1652
d198.tsp,198,19701,TSP,true,0.5,99,4965,4965.0,4965,70031,59529.3,52472,4170,4170.0,4170,70031,30569.428571428572,4170
d198.tsp,198,19701,TSP,true,0.75,148,7583,7583.0,7583,111024,101465.5,90396,7431,7431.0,7431,111024,52216.57142857143,7431
d493.tsp,493,121771,TSP,false,0.25,123,9317,9317.0,9317,90722,81247.1,65280,3399,3399.0,3399,90722,40751.333333333336,3399
d493.tsp,493,121771,TSP,false,0.5,246,18493,18493.0,18493,197327,186103.8,176529,9319,9319.0,9319,197327,93939.09523809524,9319
d493.tsp,493,121771,TSP,false,0.75,369,22482,22482.0,22482,305165,299755.6,290200,17974,17974.0,17974,305165,152370.38095238095,17974
d493.tsp,493,121771,TSP,true,0.25,123,10419,10419.0,10419,91699,81708.7,71112,3567,3567.0,3567,91699,41103.619047619046,3567
d493.tsp,493,121771,TSP,true,0.5,246,20712,20712.0,20712,198462,187587.4,177851,9953,9953.0,9953,198462,95053.14285714286,9953
d493.tsp,493,121771,TSP,true,0.75,369,24572,24572.0,24572,311260,296186.5,282557,19327,19327.0,19327,311260,151414.61904761905,19327
d657.tsp,657,216153,TSP,false,0.25,164,9996,9996.0,9996,181305,172938.4,162297,9397,9397.0,9397,181305,87302.38095238095,9397
d657.tsp,657,216153,TSP,false,0.5,328,22076,22076.0,22076,384137,379516.0,371895,20290,20290.0,20290,384137,191435.04761904763,20290
d657.tsp,657,216153,TSP,false,0.75,492,37653,37653.0,37653,598586,587473.4,569389,34446,34446.0,34446,598586,297945.09523809527,34446
d657.tsp,657,216153,TSP,true,0.25,164,11535,11535.0,11535,184612,172618.4,156050,10316,10316.0,10316,184612,87660.90476190476,10316
d657.tsp,657,216153,TSP,true,0.5,328,23518,23518.0,23518,387229,375885.7,365405,21653,21653.0,21653,387229,190424.04761904763,21653
d657.tsp,657,216153,TSP,true,0.75,492,40001,40001.0,40001,605075,585878.0,572856,35101,35101.0,35101,605075,297609.09523809527,35101
dantzig42.tsp,42,903,TSP,false,0.25,10,103,103.0,103,156,140.9,128,92,92.0,92,156,115.80952380952381,92
dantzig42.tsp,42,903,TSP,false,0.5,21,256,256.0,256,655,566.3,502,232,232.0,232,655,392.3333333333333,232
dantzig42.tsp,42,903,TSP,false,0.75,31,518,518.0,518,1421,1280.1,1167,428,428.0,428,1421,838.047619047619,428
dantzig42.tsp,42,903,TSP,true,0.25,10,151,151.0,151,149,138.2,122,103,103.0,103,151,122.04761904761905,103
